FileName,Sentences,Label,text
Ses01F_impro03_M021,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",neu,LIKE WAIT BUT IT'S JUST PENNIES YOU'RE LIKE WAIT A MINUTE I'M ON TO YOU .
Ses01F_impro03_M022,Awesome.,exc,AWESOME .
Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap,{LG} CAT BABIES .
Ses01F_impro03_M024,That's fair enough.,neu,THAT'S FAIR ENOUGH .
Ses01F_impro04_F000,"Uh, what? Craig's List? Oh the internet thing?",neu,UH WHAT . CRAIG'S LIST OH THE INTERNET THING .
Ses01F_impro04_F001,I don't know. Isn't that-- that's all like escort services and things like that.,neu,I DON'T KNOW ISN'T THAT THAT'S ALL LIKE  ESCORT SERVICES AND THINGS LIKE THAT .
Ses01F_impro04_F005,He just...,neu,HE JUST .
Ses01F_impro04_F006,you know what? I heard about that job. I applied for that.,neu,YOU KNOW WHAT I HEARD ABOUT THAT JOB I APPLIED FOR THAT .
Ses01F_impro04_F009,Yeah.,neu,YEAH .
Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu,I JUST I MEAN I CALL PEOPLE UP AND I TELL THEM WHAT I'M GOOD AT .
Ses01F_impro04_F014,Yeah.,neu,YEAH .
Ses01F_impro04_F028,I'm not frustrated.,ang,I'M NOT FRUSTRATED .
Ses01F_impro04_F029,Who do you think you are?,ang,WHO DO YOU THINK YOU ARE .
Ses01F_impro04_F030,You are so high and mighty. I just--,ang,YOU ARE SO HIGH AND MIGHTY I JUST .
Ses01F_impro04_F031,Oh. I'm saving the environment. I'm riding this car because I- I want to.,ang,OH I'M SAVING THE ENVIRONMENT I'M RIDING THIS CAR BECAUSE I I WANT TO .
Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",ang,THE BUS I'M RIDING THE BUS BECAUSE I  WANT TO .
Ses01F_impro04_F033,I can not-- you are not here by choice. Nobody would ride this bus by choice.,ang,I CAN NOT YOU ARE NOT HERE BY CHOICE  NOBODY WOULD RIDE THIS BUS BY CHOICE .
Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu,HAVE YOU TRIED UH CRAIG'S LIST .
Ses01F_impro04_M001,Yeah.,neu,YEAH .
Ses01F_impro04_M002,No. There's regular jobs on there.,neu,NO THERE'S REGULAR JOBS ON THERE .
Ses01F_impro04_M003,Uh huh.,neu,UH HUH .
Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu,I'M JUST SAYING I HAVE A FRIEND THAT GOT A GOOD JOB ON IT SO I WAS JUST RECOMMENDING IT .
Ses01F_impro04_M005,He's like a manager for a theatre.,neu,HE'S LIKE A MANAGER FOR A THEATRE .
Ses01F_impro04_M006,He's like a house manager. Yeah. It's a good job.,neu,HE'S LIKE A HOUSE MANAGER YEAH IT'S A GOOD JOB .
Ses01F_impro04_M007,You did?,neu,YOU DID .
Ses01F_impro04_M008,Yeah.,neu,YEAH .
Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago. Right?,neu,YOU'VE BEEN LOOKING FOR A JOB FOR A LONG TIME THAT WAS A LONG TIME AGO RIGHT .
Ses01F_impro04_M010,Hmm.,neu,HMM .
Ses01F_impro04_M011,I don't know. He had a really good resume I guess and--,neu,I DON'T KNOW HE HAD A  REALLY GOOD RESUME I GUESS AND .
Ses01F_impro04_M012,Yeah. Do you have a resume?,neu,YEAH DO YOU  HAVE A RESUME .
Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu,IT'S KIND OF HELPFUL WHEN GETTING A JOB .
Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,WELL MAYBE WE SHOULD SIT DOWN SOME TIME . AND YOU CAN JUST TELL ME ALL THE STUFF THAT YOU HAVE DONE . AND I'LL WRITE IT OUT .
Ses01F_impro04_M015,"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu,NO YOU CAN OR YOU CAN JUST BRING IT IN PERSON . BUT THEY NEED GENERALLY SOMETHING TO SEE YOU KNOW WHAT KIND OF WHAT THAT YOU'VE DONE WHAT KIND OF .
Ses01F_impro04_M016,"Yeah. But the piece of paper helps, too.",neu,YEAH BUT THE PIECE OF PAPER HELPS TOO .
Ses01F_impro04_M017,"No. But it has an outline, you know.",neu,NO BUT IT HAS AN OUTLINE YOU KNOW .
Ses01F_impro04_M018,"I know. Okay. Well, um. Maybe--",neu,I KNOW . OKAY . WELL UM  MAYBE .
Ses01F_impro04_M019,Yeah.,neu,YEAH .
Ses01F_impro04_M020,"Okay, yeah. I would imagine.",neu,OKAY YEAH I WOULD IMAGINE .
Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu,WELL SOMETIMES YOU HAVE TO DO THINGS THAT YOU DON'T NECESSARILY LIKE . TO DO TO HAVE A JOB  BUT THE JOB AFFORDS YOU . MONEY . YOU WON'T HAVE TO BE TAKING THE BUS RIGHT NOW .
Ses01F_impro04_M022,maybe get a car.,neu,MAYBE GET A CAR .
Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neu,I . JUST  YOU KNOW  THINK YOU SHOULD  TRY A LITTLE HARDER MAYBE .
Ses01F_impro04_M024,I didn't say that.,neu,I DIDN'T SAY THAT .
Ses01F_impro04_M025,"I am riding the bus, but by choice.",neu,I AM RIDING THE BUS  BUT BY CHOICE .
Ses01F_impro04_M026,"To save the environment, carpool.",neu,TO SAVE THE ENVIRONMENT CARPOOL .
Ses01F_impro04_M027,Yes. One less car at a time.,neu,YES  ONE LESS CAR AT A TIME .
Ses01F_impro04_M028,Mmhmm.,neu,MMHMM .
Ses01F_impro04_M031,I don't think I'm anyone.,neu,I DON'T THINK I'M ANYONE .
Ses01F_impro04_M032,I- I-I didn't-- okay.,neu,I I  I . DIDN'T . OKAY .
Ses01F_impro05_F008,Flight seven fourteen.,ang,FLIGHT SEVEN FOURTEEN .
Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang,AM I GOING TO BE GETTING LIKE FREE TICKETS FREE MILEAGE  WHEN CAN I EXPECT MY BAG HERE .
Ses01F_impro05_F011,Is this a joke?,ang,IS THIS A JOKE .
Ses01F_impro05_F012,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",ang,ARE THERE CANDID CAMERAS IS THIS THAT MOVIE . THERE'S THAT SHOW RIGHT AIRPLANE AIRLINE .
Ses01F_impro05_F014,"You're kidding me, this is a joke.",ang,YOU'RE KIDDING ME THIS IS A JOKE .
Ses01F_impro05_F015,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,ang,DO YOU HAVE ANY IDEA . FIFTY DOLLARS THAT'S SUPPOSED TO REPLACE EVERYTHING THAT I HAVE . DO YOU UNDERSTAND HOW MUCH I HAVE PACKED IN THERE  NOT ONLY DOES  IT HAVE SENTIMENTAL VALUE IT CAN'T BE REPLACED LIKE  THAT  IT WAS INCREDIBLY EXPENSIVE .
Ses01F_impro05_F016,We flew in from Paris. I've been shopping for three weeks.,ang,WE FLEW IN FROM PARIS  I'VE BEEN SHOPPING  FOR THREE WEEKS .
Ses01F_impro05_F017,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang,I DON'T CARE WHAT YOU'RE FREAKING SIGN  SAYS . SOMEBODY SOMEBODY NEEDS TO REPLACE  EVERYTHING I'VE GOT THERE . AND . GIVE ME MONEY FOR MY INCONVENIENCE .
Ses01F_impro05_F018,Do you understand who my husband is?,ang,DO YOU UNDERSTAND WHO MY HUSBAND IS .
Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang,IF YOU'RE IF YOU'RE IF YOU'RE LOOKING FOR A LAWSUIT BABY YOU'VE  FOUND IT .
Ses01F_impro05_F020,Oh-Oh. It's a gift. You're-You're helping me out here?,ang,OH  OH . IT'S A GIFT YOU'RE YOU'RE HELPING ME OUT HERE .
Ses01F_impro05_F021,You are cruising for a bruising. You are in so much trouble.,ang,YOU ARE CRUISING FOR A BRUISING YOU ARE IN SO MUCH TROUBLE .
Ses01F_impro05_F022,Who's in charge? Who is the president of Jet Blue?,ang,WHO'S IN CHARGE . WHO IS THE PRESIDENT OF JET BLUE .
Ses01F_impro05_F023,Because I probably know him.,ang,BECAUSE I PROBABLY KNOW HIM .
Ses01F_impro05_F024,Yeah.,ang,YEAH .
Ses01F_impro05_F025,"I don't want money, I want my clothes.",ang,I DON'T WANT MONEY I WANT MY CLOTHES .
Ses01F_impro05_F026,What's your name?,ang,WHAT'S YOUR NAME .
Ses01F_impro05_F028,Okay. I'll do that.,ang,OKAY . I'LL DO THAT .
Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ang,I DON'T THINK YOU HAVE DONE EVERYTHING YOU COULD DO BECAUSE I DON'T HAVE MY BAG HERE YET .
Ses01F_impro05_F030,A letter? I'll make a personal phone call.,ang,A LETTER . I'LL MAKE A PERSONAL PHONE CALL .
Ses01F_impro05_M000,Hi. Thanks for waiting.,neu,HI THANKS FOR WAITING .
Ses01F_impro05_M001,Can I help you?,hap,CAN I HELP YOU .
Ses01F_impro05_M002,Uh huh.,hap,UH HUH .
Ses01F_impro05_M003,Okay.,neu,OKAY .
Ses01F_impro05_M004,Okay.,neu,OKAY .
Ses01F_impro05_M005,Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.,neu,OKAY GREAT I'M . REALLY SORRY THAT YOU . HAD TO DO THAT WHAT'S YOUR LAST NAME LET'S START THERE .
Ses01F_impro05_M006,Okay.,neu,OKAY .
Ses01F_impro05_M007,all right- okay. And you lost your bag? Is that- that the issue?,neu,ALL RIGHT . OKAY . AND YOU LOST YOUR BAG  IS THAT  THAT THE ISSUE .
Ses01F_impro05_M008,Uh-huh.,neu,UH HUH .
Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neu,YEAH YEAH I . DON'T SEE I  DON'T SEE . ANY .
Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu,I DON'T SEE ANY RECORD OF IT AND I  USUALLY WHEN I DON'T SEE A RECORD OF IT THAT MEANS UM .
Ses01F_impro05_M011,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",neu,WE'VE MISTAKENLY LOST YOUR BAGGAGE  WE'RE VERY SORRY . ON . BEHALF OF JET BLUE I WOULD LIKE TO APOLOGIZE FOR ANY INCONVENIENCE  I AM ALLOWED TO ISSUE YOU A FIFTY  DOLLAR  GIFT CARD WHICH YOU CAN USE . ANY  FUTURE FLIGHTS YOU WANT TO TAKE WITH US  I'M VERY SORRY ONCE AGAIN .
Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neu,FOR SUCH AN INCONVENIENCE AND YOUR BAG  BUT .
Ses01F_impro05_M013,Yeah.,neu,YEAH .
Ses01F_impro05_M014,"No, no.",neu,NO NO .
Ses01F_impro05_M015,"No, no. This is real.",neu,NO NO . THIS . IS REAL .
Ses01F_impro05_M016,"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because...",neu,NO I'M JUST GIVING YOU MONEY  THE BAG IS . GONE  IF IT'S NOT HERE I'M  REALLY SORRY THERE IS NOTHING I CAN DO BECAUSE .
Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu,THIS IS THE ONLY TRACK RECORD THAT WE HAVE AND IF IT'S NOT LISTED HERE THEN IT'S  PROBABLY NOT  ANYWHERE .
Ses01F_impro05_M019,Yes.,neu,YES .
Ses01F_impro05_M020,I know.,neu,I KNOW .
Ses01F_impro05_M022,Okay. Calm-,neu,OKAY . CALM .
Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu,ACTUALLY WE ARE NOT NECESSARILY LIABLE TO . GIVE . YOU TO . EVEN GIVE YOU THIS FIFTY DOLLARS SO IT'S ACTUALLY IT'S ACTUALLY  REALLY .
Ses01F_impro05_M024,"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that.",neu,WE ARE ACTUALLY NOT EVEN . ALLOWED YOU KNOW LIKE WE DON'T HAVE TO GIVE YOU THIS . FIFTY DOLLARS WE DON'T HAVE TO DO THAT .
Ses01F_impro05_M025,It's a gift.,neu,IT'S A . GIFT .
Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu,YOU KNOW THE AIRLINES CAN NOT BE HELD RESPONSIBLE FOR EVERY . BAG OF LUGGAGE THAT COMES THROUGH  HERE .
Ses01F_impro05_M027,With the amount of--,neu,WITH THE AMOUNT OF .
Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neu,UM ACTUALLY I DON'T KNOW . I DON'T KNOW . OH REALLY .
Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money. But right now all I can do--,neu,WELL THEN MAYBE YOU CAN JUST CALL HIM AND HE CAN . GIVE YOU MORE MONEY  BUT RIGHT NOW ALL I CAN . DO .
Ses01F_impro05_M030,"Right now all I can do is just give you this fifty dollars, I'm really sorry.",neu,RIGHT NOW ALL I CAN DO IS JUST GIVE YOU THIS FIFTY DOLLARS I'M REALLY SORRY .
Ses01F_impro05_M031,Oh. My name is Sean. Hi.,neu,OH MY NAME IS SEAN . HI .
Ses01F_impro05_M034,"If you want, you can write a letter. I can give you the address. Yes. An angry--",neu,IF YOU WANT  YOU  CAN WRITE A LETTER I CAN GIVE YOU THE ADDRESS  YES . AN ANGRY .
Ses01F_impro05_M035,"Or you can make a phone call. But I think a letter might be a little more-- in my impression, letters have more...",neu,OR YOU CAN MAKE A PHONE CALL BUT I THINK A LETTER MIGHT BE A LITTLE MORE . IN MY IMPRESSION . LETTERS HAVE  MORE .
Ses01F_impro06_F002,No.,sad,NO .
Ses01F_impro06_F003,That's sweet.,neu,THAT'S  SWEET .
Ses01F_impro06_F004,Thank you.,neu,THANK YOU .
Ses01F_impro06_F005,I went to see her headstone a week or two ago.,sad,I . WENT TO SEE HER HEADSTONE  A WEEK OR TWO AGO .
Ses01F_impro06_F006,"I used to go to cemeteries a lot before she died. I just, you know, I felt like they were urban oasis, you know, there is always this green in the city.",sad,I USED TO GO TO CEMETERIES A LOT  BEFORE SHE DIED . I JUST YOU . KNOW  I FELT . LIKE THEY WERE URBAN OASIS YOU . KNOW THERE IS ALWAYS  THIS GREEN  IN THE  CITY .
Ses01F_impro06_F007,So I was like wandering around before. It takes forever to find her headstone; I always lose it. You know.,sad,SO I WAS LIKE WANDERING  AROUND BEFORE IT . TAKES FOREVER TO FIND HER HEADSTONE . I ALWAYS  LOSE IT . YOU KNOW .
Ses01F_impro06_F008,So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone. And-,sad,SO I WAS LOOKING AT THIS OTHER ONE . AND THERE WAS LIKE A PIECE OF CANDY THERE  AND I  THOUGHT THAT I WOULD  TAKE THE CANDY AND PUT IT ON HER HEADSTONE  AND .
Ses01F_impro06_F009,"this woman came up and, you know, it was hers. It was her person that was there.",neu,THIS WOMAN  CAME  UP  AND  YOU KNOW IT WAS HERS IT . WAS HER . PERSON . THAT WAS THERE .
Ses01F_impro06_F010,"Yeah. And she was like, that's pathetic, I hope you enjoy it.",sad,YEAH AND SHE WAS LIKE  THAT'S PATHETIC  I  HOPE YOU ENJOY IT .
Ses01F_impro06_F011,"And I, you know, I mean, I said I was sorry and I brought it back to her kind of and I like put it on the ground and she was like, no, it's fine. She was like, I would rather have her back, honestly.",sad,AND I YOU KNOW I MEAN  I SAID I WAS SORRY AND I . BROUGHT IT BACK  TO HER KIND OF AND I . LIKE . PUT IT ON THE . GROUND AND  SHE WAS . LIKE . NO  IT'S FINE  SHE  WAS LIKE I  WOULD RATHER HAVE HER BACK  HONESTLY .
Ses01F_impro06_F012,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",sad,I DON'T KNOW IT JUST  LIKE . I FELT SO BAD BECAUSE . I SHOULDN'T HAVE DONE . IT  I DON'T  KNOW  WHATEVER .
Ses01F_impro06_F013,I don't know.,sad,I DON'T KNOW .
Ses01F_impro06_F014,At the cemetery?,sad,AT THE CEMETERY .
Ses01F_impro06_F015,couple hours.,sad,COUPLE HOURS .
Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers.",neu,I BROUGHT  I BROUGHT CHUCK WITH ME  HE WENT TO REDLANDS YEAH . FOR THE DAY . WE RAN THROUGH THE SPRINKLERS .
Ses01F_impro06_F018,Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.,neu,YEAH . IT'S . HUGE  REDLANDS IS . AN OLD CITY . SO THEY HAVE LOTS AND LOTS OF STONES .
Ses01F_impro06_F019,Yeah.,neu,YEAH .
Ses01F_impro06_F020,"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors.",sad,IT'S WEIRD WHENEVER I GO BACK TO TOWN  I  THINK OF HER  I MEAN IT'S . LIKE  I MEAN WE GREW UP TOGETHER  AND  SHE DIED WHEN WE WERE TWENTY ONE . AND YEAH SHE HAD . CANCER SHE HAD TWO BRAIN TUMORS .
Ses01F_impro06_F021,"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her.",sad,MY BEST FRIEND HEATHER . SHE'S GOT A WE HAVE . A WE BUILT THIS LIKE . LITTLE  THERE'S A  PARK  PROSPECT  PARK AND THERE . IS LIKE A  GARDEN SECTION OF IT . THAT WE SET UP  FOR  HER .
Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,sad,SHE USED TO HAVE THESE  POETRY PARTIES  ON MEMORIAL DAY .
Ses01F_impro06_F023,Umm. Yeah.,sad,UMM YEAH .
Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",sad,AND THE LAST TIME BEFORE SHE DIED I REMEMBER SHE  COULDN'T REALLY STAND UMM .
Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool.",sad,BUT . I MEAN . SHE  COULD BUT IT  WAS SO IT WAS KIND OF  SITTING AT HER FEET HOLDING . HER UP AND  SHE HAD THESE  POEMS SHE HAD MEMORIZED  AND I REMEMBER LOOKING UP SHE HAD  CURLY RED HAIR  AND THERE WAS THIS PALM TREE RIGHT BEHIND HER AND . IT  WAS  LIKE A . CROWN GROWING  RIGHT OUT . OF HER HEAD IT . WAS . COOL .
