,FileName,Sentences,Label,text,AugmentedText
40,Ses01F_impro03_F006,"Uhuh, uhuh. He won big and he-and he realized that the only thing that would make it better was me as his bride.",hap,UHUH UHUH HE WON BIG AND HE AND HE REALIZED THAT THE ONLY THING THAT WOULD MAKE IT BETTER WAS  ME AS HIS BRIDE .,He won big and he realized that the only thing that would do it better was me as his bride.
41,Ses01F_impro03_F008,"Yeah. Well. You know, because he's leaving the next day.",hap,YEAH . WELL . YOU KNOW BECAUSE HE'S LEAVING THE NEXT DAY .,"Yeah, you know, because he's leaving the next day."
42,Ses01F_impro03_F009,But we're going to have a honeymoon cruise.,hap,BUT WE'RE GOING TO HAVE A HONEYMOON CRUISE .,But we're going on a honeymoon cruise.
43,Ses01F_impro03_F010,Oh. I hadn't even thought about that.,hap,OH . I HADN'T EVEN THOUGHT ABOUT THAT .,I hadn't even thought about that.
44,Ses01F_impro03_F012,Oh. Totally.,hap,OH TOTALLY .,Totally.
45,Ses01F_impro03_F013,I guess I'll- I guess I'll have an internet husband.[LAUGHTER],hap,I GUESS I'LL I GUESS I'LL HAVE AN INTERNET HUSBAND  {LG} .,I guess I'll take an Internet man.
46,Ses01F_impro03_F015,"Yeah, so [LAUGHTER] He's calling me now",exc,YEAH . SO . {LG} . HE'S CALLING ME NOW .,"Yeah, so he's calling me now."
47,Ses01F_impro03_F016,"He likes to keep tabs, you know.",hap,HE LIKES TO KEEP TABS . YOU KNOW .,"He likes to check, you know."
48,Ses01F_impro03_F017,"Uh, I think seven hundred and fifty dollars.",neu,UH . I  THINK SEVEN HUNDRED AND FIFTY DOLLARS .,I think seven hundred fifty dollars.
49,Ses01F_impro03_F018,Penny slots. That's what he plays.,neu,PENNY SLOTS  THAT'S WHAT HE PLAYS .,"Penny Slots, that's what he's playing."
50,Ses01F_impro03_F019,Yeah.,neu,YEAH .,"Yes, I am."
51,Ses01F_impro03_F021,Yeah. We played Wheel of Fortune pennies. It's like a giant thing with like-,hap,YEAH . WE PLAYED WHEEL OF FORTUNE PENNIES . IT'S LIKE A GIANT THING WITH LIKE .,"Yeah, we played Wheel of Fortune Pennies."
52,Ses01F_impro03_F022,Fifty bucks. Mmhmm.,neu,FIFTY BUCKS MMHMM .,Fifty bucks.
53,Ses01F_impro03_F023,Yeah.,neu,YEAH .,"Yeah, I was wrong."
54,Ses01F_impro03_F024,Well so now we're married. We have cat children.,hap,WELL SO NOW WE'RE MARRIED  WE  HAVE CAT CHILDREN .,"Well, now we're married, we have cat kids."
55,Ses01F_impro03_F025,"We renamed Brenda, Lumber Janet.",hap,WE RENAMED BRENDA  LUMBER JANET .,"We renamed Brenda, Lumber Janet."
56,Ses01F_impro03_F026,She needs a new name each state that we go into. [LAUGHTER],hap,SHE NEEDS A NEW NAME EACH STATE THAT WE GO INTO  {LG} .,She needs a new name in every state we go into.
57,Ses01F_impro03_M000,So what's up? What's new?,neu,SO WHAT'S UP WHAT'S NEW .,What's new?
58,Ses01F_impro03_M001,Yeah. I heard.,neu,YEAH I HEARD .,"Yeah, I heard."
59,Ses01F_impro03_M003,Who did you marry?,exc,WHO DID YOU  MARRY .,Who did you marry?
60,Ses01F_impro03_M006,He turned to you and was like...,neu,HE TURNED TO YOU AND WAS LIKE .,He turned to you and was like...
61,Ses01F_impro03_M007,[LAUGHTER] That's really romantic.,hap,{LG} THAT'S REALLY ROMANTIC .,That's really romantic.
62,Ses01F_impro03_M008,Yeah.,neu,YEAH .,"Yes, that's right."
63,Ses01F_impro03_M009,"Does that mean that you're going to get citizenship, too, in- in England or whatever?",neu,DOES THAT MEAN THAT YOU'RE GOING TO GET CITIZENSHIP TOO IN . IN ENGLAND OR  WHATEVER .,Does that mean you'll also get citizenship in England?
64,Ses01F_impro03_M011,Yeah. But he'll have like a long visa. Can you go visit then for a long time?,neu,YEAH BUT HE'LL HAVE LIKE A LONG VISA . CAN YOU GO VISIT THEN FOR A LONG TIME .,"Yeah, but he'll have a long visa."
65,Ses01F_impro03_M013,Like you need another one of those.[LAUGHTER],hap,LIKE YOU NEED ANOTHER ONE OF THOSE {LG} .,Like you need another one of them.
66,Ses01F_impro03_M014,Is that your phone?,hap,IS . THAT . YOUR PHONE .,Is that your phone?
67,Ses01F_impro03_M015,He loves you.,hap,HE LOVES YOU .,He loves you.
68,Ses01F_impro03_M016,How much did he win at the slot?,neu,HOW MUCH DID HE WIN AT THE SLOT .,How much did he win at the slot?
69,Ses01F_impro03_M019,I'm a big fan of the Wheel of Fortune quarters. But it just costs so much. I don't know.,neu,I'M A BIG FAN OF THE WHEEL OF FORTUNE QUARTERS  BUT IT JUST COSTS SO MUCH  I DON'T KNOW .,"I'm a big fan of the Wheel of Fortune Quarter, but it costs so much."
70,Ses01F_impro03_M020,"But the pennies always get you because you end up spending like, you know, fifty bucks.",neu,BUT THE PENNIES ALWAYS GET YOU BECAUSE YOU END UP SPENDING LIKE YOU KNOW . FIFTY BUCKS .,But the pennies always get you because you end up spending like 50 bucks.
71,Ses01F_impro03_M021,"like, wait, but it's just pennies. You're like, wait a minute I'm on to you.",neu,LIKE WAIT BUT IT'S JUST PENNIES YOU'RE LIKE WAIT A MINUTE I'M ON TO YOU .,"Wait, but it's just pennies."
72,Ses01F_impro03_M022,Awesome.,exc,AWESOME .,Great.
73,Ses01F_impro03_M023,[LAUGHTER] Cat babies.,hap,{LG} CAT BABIES .,[LAUGHING] Cat babies.
74,Ses01F_impro03_M024,That's fair enough.,neu,THAT'S FAIR ENOUGH .,That's fair enough.
75,Ses01F_impro04_F000,"Uh, what? Craig's List? Oh the internet thing?",neu,UH WHAT . CRAIG'S LIST OH THE INTERNET THING .,"Craig's list, the Internet thing?"
76,Ses01F_impro04_F001,I don't know. Isn't that-- that's all like escort services and things like that.,neu,I DON'T KNOW ISN'T THAT THAT'S ALL LIKE  ESCORT SERVICES AND THINGS LIKE THAT .,"I don't know, isn't that... that's all like escort services and things like that."
77,Ses01F_impro04_F005,He just...,neu,HE JUST .,He just...
78,Ses01F_impro04_F006,you know what? I heard about that job. I applied for that.,neu,YOU KNOW WHAT I HEARD ABOUT THAT JOB I APPLIED FOR THAT .,I heard about the job and applied for it.
79,Ses01F_impro04_F009,Yeah.,neu,YEAH .,Yes.
80,Ses01F_impro04_F013,I just- I mean I call people up and I tell them what I'm good at.,neu,I JUST I MEAN I CALL PEOPLE UP AND I TELL THEM WHAT I'M GOOD AT .,"I mean, I'll call people and tell them what I'm good at."
81,Ses01F_impro04_F014,Yeah.,neu,YEAH .,Yes.
82,Ses01F_impro04_F028,I'm not frustrated.,ang,I'M NOT FRUSTRATED .,I'm not frustrated.
83,Ses01F_impro04_F029,Who do you think you are?,ang,WHO DO YOU THINK YOU ARE .,Who do you think you are?
84,Ses01F_impro04_F030,You are so high and mighty. I just--,ang,YOU ARE SO HIGH AND MIGHTY I JUST .,You're so high and powerful.
85,Ses01F_impro04_F031,Oh. I'm saving the environment. I'm riding this car because I- I want to.,ang,OH I'M SAVING THE ENVIRONMENT I'M RIDING THIS CAR BECAUSE I I WANT TO .,I'm going by car because I want to.
86,Ses01F_impro04_F032,"The bus, I'm riding the bus because I want to.",ang,THE BUS I'M RIDING THE BUS BECAUSE I  WANT TO .,"The bus, I'm driving the bus because I want to."
87,Ses01F_impro04_F033,I can not-- you are not here by choice. Nobody would ride this bus by choice.,ang,I CAN NOT YOU ARE NOT HERE BY CHOICE  NOBODY WOULD RIDE THIS BUS BY CHOICE .,"I can't... you're not here voluntarily, no one would ride this bus of their own choice."
88,Ses01F_impro04_M000,"Have you tried, uh, Craig's List?",neu,HAVE YOU TRIED UH CRAIG'S LIST .,Have you ever tried Craig's list?
89,Ses01F_impro04_M001,Yeah.,neu,YEAH .,"Yeah, all right."
90,Ses01F_impro04_M002,No. There's regular jobs on there.,neu,NO THERE'S REGULAR JOBS ON THERE .,"No, there are regular jobs there."
91,Ses01F_impro04_M003,Uh huh.,neu,UH HUH .,Ahem.
92,Ses01F_impro04_M004,I'm just saying I have a friend that got a good job on it so I was just recommending it.,neu,I'M JUST SAYING I HAVE A FRIEND THAT GOT A GOOD JOB ON IT SO I WAS JUST RECOMMENDING IT .,"I'm just saying that I have a friend who has a good job, so I just recommended him."
93,Ses01F_impro04_M005,He's like a manager for a theatre.,neu,HE'S LIKE A MANAGER FOR A THEATRE .,He's like a manager for a theater.
94,Ses01F_impro04_M006,He's like a house manager. Yeah. It's a good job.,neu,HE'S LIKE A HOUSE MANAGER YEAH IT'S A GOOD JOB .,He's like a house manager.
95,Ses01F_impro04_M007,You did?,neu,YOU DID .,Really?
96,Ses01F_impro04_M008,Yeah.,neu,YEAH .,Yes.
97,Ses01F_impro04_M009,You've been looking for a job for a long time; that was a long time ago. Right?,neu,YOU'VE BEEN LOOKING FOR A JOB FOR A LONG TIME THAT WAS A LONG TIME AGO RIGHT .,You've been looking for a job a long time ago.
98,Ses01F_impro04_M010,Hmm.,neu,HMM .,What's wrong with you?
99,Ses01F_impro04_M011,I don't know. He had a really good resume I guess and--,neu,I DON'T KNOW HE HAD A  REALLY GOOD RESUME I GUESS AND .,"I don't know, he had a very good resume, I guess, and..."
100,Ses01F_impro04_M012,Yeah. Do you have a resume?,neu,YEAH DO YOU  HAVE A RESUME .,Do you have a resume?
101,Ses01F_impro04_M013,It's kind of helpful when getting a job.,neu,IT'S KIND OF HELPFUL WHEN GETTING A JOB .,It's kind of helpful when you get a job.
102,Ses01F_impro04_M014,Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.,neu,WELL MAYBE WE SHOULD SIT DOWN SOME TIME . AND YOU CAN JUST TELL ME ALL THE STUFF THAT YOU HAVE DONE . AND I'LL WRITE IT OUT .,"Well, maybe we should sit down and you can tell me everything you've done, and I'll write it out."
103,Ses01F_impro04_M015,"No. You can- or you can just bring it in person. But they need, generally, something to see, you know, what kind of what that you've done, what kind of--",neu,NO YOU CAN OR YOU CAN JUST BRING IT IN PERSON . BUT THEY NEED GENERALLY SOMETHING TO SEE YOU KNOW WHAT KIND OF WHAT THAT YOU'VE DONE WHAT KIND OF .,"No, you can do it or you can only bring it personally, but they generally need something to see what you've done, what kind of..."
104,Ses01F_impro04_M016,"Yeah. But the piece of paper helps, too.",neu,YEAH BUT THE PIECE OF PAPER HELPS TOO .,But the paper helps too.
105,Ses01F_impro04_M017,"No. But it has an outline, you know.",neu,NO BUT IT HAS AN OUTLINE YOU KNOW .,"No, but it has an outline."
106,Ses01F_impro04_M018,"I know. Okay. Well, um. Maybe--",neu,I KNOW . OKAY . WELL UM  MAYBE .,"I know, maybe..."
107,Ses01F_impro04_M019,Yeah.,neu,YEAH .,Yes.
108,Ses01F_impro04_M020,"Okay, yeah. I would imagine.",neu,OKAY YEAH I WOULD IMAGINE .,"Okay, yeah, I'd imagine."
109,Ses01F_impro04_M021,"Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now.",neu,WELL SOMETIMES YOU HAVE TO DO THINGS THAT YOU DON'T NECESSARILY LIKE . TO DO TO HAVE A JOB  BUT THE JOB AFFORDS YOU . MONEY . YOU WON'T HAVE TO BE TAKING THE BUS RIGHT NOW .,Sometimes you have to do things that you don't necessarily like to do to have a job.
110,Ses01F_impro04_M022,maybe get a car.,neu,MAYBE GET A CAR .,Maybe get a car.
111,Ses01F_impro04_M023,"I just, you know, think you should try a little harder maybe.",neu,I . JUST  YOU KNOW  THINK YOU SHOULD  TRY A LITTLE HARDER MAYBE .,I just think you should try a little harder.
112,Ses01F_impro04_M024,I didn't say that.,neu,I DIDN'T SAY THAT .,I didn't say that.
113,Ses01F_impro04_M025,"I am riding the bus, but by choice.",neu,I AM RIDING THE BUS  BUT BY CHOICE .,"I'm driving the bus, but I'm willing."
114,Ses01F_impro04_M026,"To save the environment, carpool.",neu,TO SAVE THE ENVIRONMENT CARPOOL .,"To save the environment, pool."
115,Ses01F_impro04_M027,Yes. One less car at a time.,neu,YES  ONE LESS CAR AT A TIME .,"Yeah, one thing at a time."
116,Ses01F_impro04_M028,Mmhmm.,neu,MMHMM .,I told you.
117,Ses01F_impro04_M031,I don't think I'm anyone.,neu,I DON'T THINK I'M ANYONE .,I don't think I'm anyone.
118,Ses01F_impro04_M032,I- I-I didn't-- okay.,neu,I I  I . DIDN'T . OKAY .,I... I didn't... okay.
119,Ses01F_impro05_F008,Flight seven fourteen.,ang,FLIGHT SEVEN FOURTEEN .,"Flight 7, 14."
120,Ses01F_impro05_F009,"Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?",ang,AM I GOING TO BE GETTING LIKE FREE TICKETS FREE MILEAGE  WHEN CAN I EXPECT MY BAG HERE .,"I get free tickets, free kilometers. When can I wait for my bag here?"
121,Ses01F_impro05_F011,Is this a joke?,ang,IS THIS A JOKE .,Is this a joke?
122,Ses01F_impro05_F012,"Are there candid cameras? Is this that movie? There's that show, right? Airplane, airline.",ang,ARE THERE CANDID CAMERAS IS THIS THAT MOVIE . THERE'S THAT SHOW RIGHT AIRPLANE AIRLINE .,"Are there open cameras? Is that this movie? There's this show, right? Plane, airline."
123,Ses01F_impro05_F014,"You're kidding me, this is a joke.",ang,YOU'RE KIDDING ME THIS IS A JOKE .,You're kidding me. It's a joke.
124,Ses01F_impro05_F015,Do you have any idea-- fifty dollars? That's supposed to replace everything that I have? Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that. It was incredibly expensive.,ang,DO YOU HAVE ANY IDEA . FIFTY DOLLARS THAT'S SUPPOSED TO REPLACE EVERYTHING THAT I HAVE . DO YOU UNDERSTAND HOW MUCH I HAVE PACKED IN THERE  NOT ONLY DOES  IT HAVE SENTIMENTAL VALUE IT CAN'T BE REPLACED LIKE  THAT  IT WAS INCREDIBLY EXPENSIVE .,Do you have an idea... $50? This is supposed to replace all that I have? Do you understand how much I've packed in there? Not only does it have sentimental value; it can't be replaced like this
125,Ses01F_impro05_F016,We flew in from Paris. I've been shopping for three weeks.,ang,WE FLEW IN FROM PARIS  I'VE BEEN SHOPPING  FOR THREE WEEKS .,"We flew in from Paris, I've been shopping for three weeks."
126,Ses01F_impro05_F017,I don't care what you're freaking sign says. Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.,ang,I DON'T CARE WHAT YOU'RE FREAKING SIGN  SAYS . SOMEBODY SOMEBODY NEEDS TO REPLACE  EVERYTHING I'VE GOT THERE . AND . GIVE ME MONEY FOR MY INCONVENIENCE .,Someone has to replace everything I have and give me money for my inconvenience.
127,Ses01F_impro05_F018,Do you understand who my husband is?,ang,DO YOU UNDERSTAND WHO MY HUSBAND IS .,Do you understand who my husband is?
128,Ses01F_impro05_F019,"If you're- if you're- if you're looking for a lawsuit, baby, you've found it.",ang,IF YOU'RE IF YOU'RE IF YOU'RE LOOKING FOR A LAWSUIT BABY YOU'VE  FOUND IT .,"If you... if you're looking for a lawsuit, baby, you found it."
129,Ses01F_impro05_F020,Oh-Oh. It's a gift. You're-You're helping me out here?,ang,OH  OH . IT'S A GIFT YOU'RE YOU'RE HELPING ME OUT HERE .,"Oh, this is a gift, you're helping me out here?"
130,Ses01F_impro05_F021,You are cruising for a bruising. You are in so much trouble.,ang,YOU ARE CRUISING FOR A BRUISING YOU ARE IN SO MUCH TROUBLE .,"You're going to a bruising, you're in so much trouble."
131,Ses01F_impro05_F022,Who's in charge? Who is the president of Jet Blue?,ang,WHO'S IN CHARGE . WHO IS THE PRESIDENT OF JET BLUE .,Who's the president of Jet Blue?
132,Ses01F_impro05_F023,Because I probably know him.,ang,BECAUSE I PROBABLY KNOW HIM .,Because I probably know him.
133,Ses01F_impro05_F024,Yeah.,ang,YEAH .,"Yeah, sure."
134,Ses01F_impro05_F025,"I don't want money, I want my clothes.",ang,I DON'T WANT MONEY I WANT MY CLOTHES .,"I don't want money, I want my clothes."
135,Ses01F_impro05_F026,What's your name?,ang,WHAT'S YOUR NAME .,What's your name?
136,Ses01F_impro05_F028,Okay. I'll do that.,ang,OKAY . I'LL DO THAT .,"Okay, I will."
137,Ses01F_impro05_F029,I don't think you have done everything you could do because I don't have my bag here yet.,ang,I DON'T THINK YOU HAVE DONE EVERYTHING YOU COULD DO BECAUSE I DON'T HAVE MY BAG HERE YET .,I don't think you did everything you could because I haven't got my bag here yet.
138,Ses01F_impro05_F030,A letter? I'll make a personal phone call.,ang,A LETTER . I'LL MAKE A PERSONAL PHONE CALL .,I'll make a personal call.
139,Ses01F_impro05_M000,Hi. Thanks for waiting.,neu,HI THANKS FOR WAITING .,Thanks for waiting.
140,Ses01F_impro05_M001,Can I help you?,hap,CAN I HELP YOU .,Can I help you?
141,Ses01F_impro05_M002,Uh huh.,hap,UH HUH .,"Uh, uh."
142,Ses01F_impro05_M003,Okay.,neu,OKAY .,All right.
143,Ses01F_impro05_M004,Okay.,neu,OKAY .,All right.
144,Ses01F_impro05_M005,Okay. Great. I'm really sorry that you had to do that. What's your last name? Let's start there.,neu,OKAY GREAT I'M . REALLY SORRY THAT YOU . HAD TO DO THAT WHAT'S YOUR LAST NAME LET'S START THERE .,"Well, I'm really sorry you had to do this."
145,Ses01F_impro05_M006,Okay.,neu,OKAY .,All right.
146,Ses01F_impro05_M007,all right- okay. And you lost your bag? Is that- that the issue?,neu,ALL RIGHT . OKAY . AND YOU LOST YOUR BAG  IS THAT  THAT THE ISSUE .,"Okay, and you lost your bag?"
147,Ses01F_impro05_M008,Uh-huh.,neu,UH HUH .,I'm not able to see you.
148,Ses01F_impro05_M009,"Yeah. Yeah, I don't see- I don't see any--",neu,YEAH YEAH I . DON'T SEE I  DON'T SEE . ANY .,"Yeah, I don't see any..."
149,Ses01F_impro05_M010,"I don't see any record of it, and I-usually when I don't see a record of it, that means um-",neu,I DON'T SEE ANY RECORD OF IT AND I  USUALLY WHEN I DON'T SEE A RECORD OF IT THAT MEANS UM .,"I don't see any records of it, and normally, if I don't see any records of it, that means..."
150,Ses01F_impro05_M011,"we've mistakenly lost your baggage. We're very sorry. On behalf of Jet Blue I would like to apologize for any inconvenience. I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us. I'm very sorry, once again...",neu,WE'VE MISTAKENLY LOST YOUR BAGGAGE  WE'RE VERY SORRY . ON . BEHALF OF JET BLUE I WOULD LIKE TO APOLOGIZE FOR ANY INCONVENIENCE  I AM ALLOWED TO ISSUE YOU A FIFTY  DOLLAR  GIFT CARD WHICH YOU CAN USE . ANY  FUTURE FLIGHTS YOU WANT TO TAKE WITH US  I'M VERY SORRY ONCE AGAIN .,"We have lost your luggage wrongly. We are very sorry. On behalf of Jet Blue I would like to apologize for all inconveniences. I can issue you a $50 gift card, which"
151,Ses01F_impro05_M012,"for such an inconvenience and your bag, but",neu,FOR SUCH AN INCONVENIENCE AND YOUR BAG  BUT .,"for such inconvenience and your bag, but"
152,Ses01F_impro05_M013,Yeah.,neu,YEAH .,Yes.
153,Ses01F_impro05_M014,"No, no.",neu,NO NO .,"No, no."
154,Ses01F_impro05_M015,"No, no. This is real.",neu,NO NO . THIS . IS REAL .,"No, no, that's real."
155,Ses01F_impro05_M016,"No. I'm just giving you money, the bag is gone. If it's not here, I'm really sorry there is nothing I can do because...",neu,NO I'M JUST GIVING YOU MONEY  THE BAG IS . GONE  IF IT'S NOT HERE I'M  REALLY SORRY THERE IS NOTHING I CAN DO BECAUSE .,"No, I'm just giving you money, and the bag's gone, and if she's not here, I'm really sorry I can't do anything because..."
156,Ses01F_impro05_M017,this is the only track record that we have and if it's not listed here then it's probably not anywhere.,neu,THIS IS THE ONLY TRACK RECORD THAT WE HAVE AND IF IT'S NOT LISTED HERE THEN IT'S  PROBABLY NOT  ANYWHERE .,"This is the only track record we have, and if it is not listed here, it is probably nowhere."
157,Ses01F_impro05_M019,Yes.,neu,YES .,"Yes, I did."
158,Ses01F_impro05_M020,I know.,neu,I KNOW .,I know.
159,Ses01F_impro05_M022,Okay. Calm-,neu,OKAY . CALM .,"Okay, calm down."
160,Ses01F_impro05_M023,"Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really",neu,ACTUALLY WE ARE NOT NECESSARILY LIABLE TO . GIVE . YOU TO . EVEN GIVE YOU THIS FIFTY DOLLARS SO IT'S ACTUALLY IT'S ACTUALLY  REALLY .,"Actually, we're not necessarily liable to give you this $50, so... it's actually... it's really..."
161,Ses01F_impro05_M024,"We are actually not even allowed-- you know, like we don't have to give you this fifty dollars. We don't have to do that.",neu,WE ARE ACTUALLY NOT EVEN . ALLOWED YOU KNOW LIKE WE DON'T HAVE TO GIVE YOU THIS . FIFTY DOLLARS WE DON'T HAVE TO DO THAT .,We're not even allowed... like we don't have to give you that 50 bucks.
162,Ses01F_impro05_M025,It's a gift.,neu,IT'S A . GIFT .,It's a gift.
163,Ses01F_impro05_M026,"You know, the airlines can not be held responsible for every bag of luggage that comes through here.",neu,YOU KNOW THE AIRLINES CAN NOT BE HELD RESPONSIBLE FOR EVERY . BAG OF LUGGAGE THAT COMES THROUGH  HERE .,"You know, the airlines can't be held responsible for every bag that gets through here."
164,Ses01F_impro05_M027,With the amount of--,neu,WITH THE AMOUNT OF .,With the amount of...
165,Ses01F_impro05_M028,"Um, actually, I don't know. I don't know. Oh really?",neu,UM ACTUALLY I DON'T KNOW . I DON'T KNOW . OH REALLY .,"I don't know, I don't know."
166,Ses01F_impro05_M029,Well then maybe you can just call him and he can give you more money. But right now all I can do--,neu,WELL THEN MAYBE YOU CAN JUST CALL HIM AND HE CAN . GIVE YOU MORE MONEY  BUT RIGHT NOW ALL I CAN . DO .,"Maybe you can call him and he can give you more money, but now I can only..."
